Date,Value
1977-09-02,872.31
1977-09-09,857.04
1977-09-16,856.81
1977-09-23,839.14
1977-09-30,847.11
1977-10-07,840.35
1977-10-14,821.64
1977-10-21,808.3
1977-10-28,822.68
1977-11-04,809.94
1977-11-11,845.89
1977-11-18,835.76
1977-11-25,844.42
1977-12-02,823.98
1977-12-09,815.23
1977-12-16,815.32
1977-12-23,829.87
1977-12-30,831.17
1978-01-06,793.49
1978-01-13,775.73
1978-01-20,776.94
1978-01-27,764.12
1978-02-03,770.96
1978-02-10,775.99
1978-02-17,752.69
1978-02-24,756.24
1978-03-03,747.31
1978-03-10,758.58
1978-03-17,768.71
1978-03-23,756.5
1978-03-31,757.36
1978-04-07,769.58
1978-04-14,795.13
1978-04-21,812.8
1978-04-28,837.32
1978-05-05,829.09
1978-05-12,840.7
1978-05-19,846.85
1978-05-26,831.69
1978-06-02,847.54
1978-06-09,859.23
1978-06-16,836.97
1978-06-23,823.02
1978-06-30,818.95
1978-07-07,812.46
1978-07-14,839.83
1978-07-21,833.42
1978-07-28,856.29
1978-08-04,888.43
1978-08-11,890.85
1978-08-18,896.83
1978-08-25,895.53
1978-09-01,879.33
1978-09-08,907.74
1978-09-15,878.55
1978-09-22,862.44
1978-09-29,865.82
1978-10-06,880.02
1978-10-13,897.09
1978-10-20,838.01
1978-10-27,806.05
1978-11-03,823.11
1978-11-10,807.09
1978-11-17,797.73
1978-11-24,810.12
1978-12-01,811.5
1978-12-08,811.85
1978-12-15,805.35
1978-12-22,808.47
1978-12-29,805.01
1979-01-05,830.73
1979-01-12,836.28
1979-01-19,837.49
1979-01-26,859.75
1979-02-02,834.63
1979-02-09,822.23
1979-02-16,827.01
1979-02-23,823.28
1979-03-02,815.75
1979-03-09,842.86
1979-03-16,852.82
1979-03-23,859.75
1979-03-30,862.18
1979-04-06,875.69
1979-04-12,870.5
1979-04-20,856.98
1979-04-27,856.64
1979-05-04,847.54
1979-05-11,830.56
1979-05-18,841.91
1979-05-25,836.28
1979-06-01,821.21
1979-06-08,835.15
1979-06-15,843.3
1979-06-22,849.1
1979-06-29,841.98
1979-07-06,846.16
1979-07-13,833.53
1979-07-20,828.07
1979-07-27,839.76
1979-08-03,846.16
1979-08-10,867.06
1979-08-17,883.36
1979-08-24,880.2
