Date,Value
1977-09-02,100.83
1977-09-09,100.91
1977-09-16,100.74
1977-09-23,99.57
1977-09-30,100.85
1977-10-07,101.62
1977-10-14,99.05
1977-10-21,98.54
1977-10-28,97.49
1977-11-04,97.21
1977-11-11,100.94
1977-11-18,102.22
1977-11-25,104.33
1977-12-02,104.1
1977-12-09,103.57
1977-12-16,104.05
1977-12-23,103.94
1977-12-30,105.05
1978-01-06,101.66
1978-01-13,99.77
1978-01-20,100.63
1978-01-27,100.62
1978-02-03,102.22
1978-02-10,103.58
1978-02-17,102.25
1978-02-24,102.7
1978-03-03,101.95
1978-03-10,103.42
1978-03-17,104.94
1978-03-23,105.39
1978-03-31,106.2
1978-04-07,108.23
1978-04-14,111.29
1978-04-21,113.32
1978-04-28,115.18
1978-05-05,117.27
1978-05-12,119.4
1978-05-19,121.57
1978-05-26,119.86
1978-06-02,121.03
1978-06-09,124.41
1978-06-16,123.69
1978-06-23,120.74
1978-06-30,120.3
1978-07-07,119.16
1978-07-14,121.58
1978-07-21,123.6
1978-07-28,125.62
1978-08-04,129.71
1978-08-11,132
1978-08-18,134.71
1978-08-25,135.84
1978-09-01,135.35
1978-09-08,138.36
1978-09-15,137.36
1978-09-22,132.3
1978-09-29,132.89
1978-10-06,134
1978-10-13,135.58
1978-10-20,123.82
1978-10-27,115.25
1978-11-03,115.49
1978-11-10,114.84
1978-11-17,113.69
1978-11-24,116.17
1978-12-01,116.19
1978-12-08,118.77
1978-12-15,117.41
1978-12-22,116.93
1978-12-29,117.98
1979-01-05,122.05
1979-01-12,123.74
1979-01-19,124.65
1979-01-26,127.04
1979-02-02,125.82
1979-02-09,123.76
1979-02-16,125.57
1979-02-23,125.04
1979-03-02,123.67
1979-03-09,127.25
1979-03-16,128.55
1979-03-23,130.58
1979-03-30,131.76
1979-04-06,133.75
1979-04-12,133.54
1979-04-20,133.67
1979-04-27,134.37
1979-05-04,133.72
1979-05-11,129.69
1979-05-18,131.01
1979-05-25,132.68
1979-06-01,131.76
1979-06-08,134.96
1979-06-15,136.25
1979-06-22,137.24
1979-06-29,138.13
1979-07-06,138.64
1979-07-13,138.52
1979-07-20,137.98
1979-07-27,140.02
1979-08-03,142.63
1979-08-10,145.07
1979-08-17,147.84
1979-08-24,149.4
1979-08-31,150.44
1979-09-07,148.07
1979-09-14,150.56
1979-09-21,150.65
1979-09-28,149.98
1979-10-05,152.29
1979-10-12,140.71
1979-10-19,136.59
1979-10-26,133.75
1979-11-02,136.88
1979-11-09,135.86
1979-11-16,139.07
1979-11-23,139.85
1979-11-30,144.26
1979-12-07,147.49
1979-12-14,150.03
1979-12-21,150.17
1979-12-28,150.83
1980-01-04,148.02
1980-01-11,153.87
1980-01-18,156.14
1980-01-25,159.7
1980-02-01,162.3
1980-02-08,165.25
1980-02-15,162.56
1980-02-22,160.08
1980-02-29,158.03
1980-03-07,146.19
1980-03-14,144.44
1980-03-21,138.8
1980-03-28,129.25
1980-04-03,136.01
1980-04-11,137.75
1980-04-18,134.66
1980-04-25,137.92
1980-05-02,140.25
1980-05-09,143.06
1980-05-16,147.24
1980-05-23,149.48
1980-05-30,150.45
1980-06-06,152.68
1980-06-13,156.59
1980-06-20,156.51
1980-06-27,159.18
1980-07-03,160.87
1980-07-11,164.82
1980-07-18,169.99
1980-07-25,169.63
1980-08-01,172.49
1980-08-08,175.88
1980-08-15,179.89
1980-08-22,181.7
1980-08-29,181.52
1980-09-05,185.61
1980-09-12,189.58
1980-09-19,195.33
1980-09-26,190.77
1980-10-03,193.43
1980-10-10,197.79
1980-10-17,197.24
1980-10-24,196.17
1980-10-31,192.78
1980-11-07,193.51
1980-11-14,201.76
1980-11-21,206.07
1980-11-28,208.15
1980-12-05,203.02
1980-12-12,191.22
1980-12-19,197.91
1980-12-26,201.28
1981-01-02,203.55
1981-01-09,197.66
1981-01-16,201.13
1981-01-23,197.52
1981-01-30,197.81
1981-02-06,197.87
1981-02-13,193.89
1981-02-20,192.29
1981-02-27,198.01
1981-03-06,199.89
1981-03-13,202.17
1981-03-20,206.29
1981-03-27,208.82
1981-04-03,212.65
1981-04-10,215.15
1981-04-16,216.64
1981-04-24,219.56
1981-05-01,216.68
1981-05-08,214.84
1981-05-15,216.51
1981-05-22,219.23
1981-05-29,223.47
1981-06-05,221.3
1981-06-12,222.76
1981-06-19,219.56
1981-06-26,219.76
1981-07-02,212.8
1981-07-10,210.54
1981-07-17,212.76
1981-07-24,208
1981-07-31,211.63
1981-08-07,211.36
1981-08-14,212.12
1981-08-21,206.76
1981-08-28,197.55
1981-09-04,189.63
1981-09-11,189.81
1981-09-18,184.27
1981-09-25,175.12
1981-10-02,184.37
1981-10-09,191.27
1981-10-16,190.24
1981-10-23,191.91
1981-10-30,195.24
1981-11-06,199.97
1981-11-13,200.16
1981-11-20,198.6
1981-11-27,201.02
1981-12-04,200.88
1981-12-11,198.64
1981-12-18,197.01
1981-12-24,195.7
1981-12-31,195.84
1982-01-08,192.05
1982-01-15,187.32
1982-01-22,185.83
1982-01-29,188.39
1982-02-05,188.21
1982-02-12,182.52
1982-02-19,180.65
1982-02-26,179.43
1982-03-05,173.97
1982-03-12,168.23
1982-03-19,171.76
1982-03-26,175.2
1982-04-02,178.56
1982-04-08,181.15
1982-04-16,182.25
1982-04-23,184.93
1982-04-30,184.7
1982-05-07,188.13
1982-05-14,188.22
1982-05-21,182.4
1982-05-28,178.54
1982-06-04,174.82
1982-06-11,173.55
1982-06-18,168.5
1982-06-25,170.48
1982-07-02,170.05
1982-07-09,168.07
1982-07-16,170.18
1982-07-23,172.11
1982-07-30,167.35
1982-08-06,163.59
1982-08-13,159.14
1982-08-20,166.96
1982-08-27,177.6
1982-09-03,182.05
1982-09-10,182.47
1982-09-17,186.61
1982-09-24,188.61
1982-10-01,188.7
1982-10-08,198.89
1982-10-15,204.46
1982-10-22,215.29
1982-10-29,212.63
1982-11-05,227.03
1982-11-12,232.61
1982-11-19,229.41
1982-11-26,228.64
1982-12-03,237.16
1982-12-10,233.85
1982-12-17,228.93
1982-12-23,232.33
1982-12-31,232.41
1983-01-07,238.6
1983-01-14,245.63
1983-01-21,243.97
1983-01-28,246.93
1983-02-04,251.65
1983-02-11,256.64
1983-02-18,261.29
1983-02-25,262.44
1983-03-04,265.94
1983-03-11,266.18
1983-03-18,265.01
1983-03-25,270.89
1983-03-31,270.8
1983-04-08,268.1
1983-04-15,281.6
1983-04-22,288.55
1983-04-29,293.06
1983-05-06,301.64
1983-05-13,303.94
1983-05-20,303.56
1983-05-27,312.05
1983-06-03,313.85
1983-06-10,315.24
1983-06-17,326.11
1983-06-24,328.91
1983-07-01,321.58
1983-07-08,319.57
1983-07-15,312.87
1983-07-22,320.71
1983-07-29,303.96
1983-08-05,300.2
1983-08-12,299.58
1983-08-19,299.1
1983-08-26,290.31
1983-09-02,297.85
1983-09-09,302.23
1983-09-16,298.27
1983-09-23,303.61
1983-09-30,296.65
1983-10-07,297.36
1983-10-14,289.65
1983-10-21,279.49
1983-10-28,276.14
1983-11-04,273.17
1983-11-11,277.13
1983-11-18,281.28
1983-11-25,285.49
1983-12-02,283.91
1983-12-09,280.51
1983-12-16,276.01
1983-12-23,276.54
1983-12-30,278.6
1984-01-06,287.9
1984-01-13,286.85
1984-01-20,284.41
1984-01-27,273.18
1984-02-03,264.01
1984-02-10,254.04
1984-02-17,251.33
1984-02-24,251.44
1984-03-02,255.54
1984-03-09,249.01
1984-03-16,253.37
1984-03-23,249.98
1984-03-30,250.78
1984-04-06,243.94
1984-04-13,244.01
1984-04-19,245.35
1984-04-27,246.9
1984-05-04,250.89
1984-05-11,250.57
1984-05-18,244.61
1984-05-25,235.23
1984-06-01,235.9
1984-06-08,240.35
1984-06-15,235.64
1984-06-22,241.11
