Date,Value Dow,Value Nasdaq,Value S&P 500
1977-09-02,872.31,100.83,97.45
1977-09-09,857.04,100.91,96.37
1977-09-16,856.81,100.74,96.48
1977-09-23,839.14,99.57,95.04
1977-09-30,847.11,100.85,96.53
1977-10-07,840.35,101.62,95.97
1977-10-14,821.64,99.05,93.56
1977-10-21,808.3,98.54,92.32
1977-10-28,822.68,97.49,92.61
1977-11-04,809.94,97.21,91.58
1977-11-11,845.89,100.94,95.98
1977-11-18,835.76,102.22,95.33
1977-11-25,844.42,104.33,96.69
1977-12-02,823.98,104.1,94.67
1977-12-09,815.23,103.57,93.65
1977-12-16,815.32,104.05,93.4
1977-12-23,829.87,103.94,94.69
1977-12-30,831.17,105.05,95.1
1978-01-06,793.49,101.66,91.62
1978-01-13,775.73,99.77,89.69
1978-01-20,776.94,100.63,89.89
1978-01-27,764.12,100.62,88.58
1978-02-03,770.96,102.22,89.62
1978-02-10,775.99,103.58,90.08
1978-02-17,752.69,102.25,87.96
1978-02-24,756.24,102.7,88.49
1978-03-03,747.31,101.95,87.45
1978-03-10,758.58,103.42,88.88
1978-03-17,768.71,104.94,90.2
1978-03-23,756.5,105.39,89.36
1978-03-31,757.36,106.2,89.21
1978-04-07,769.58,108.23,90.17
1978-04-14,795.13,111.29,92.92
1978-04-21,812.8,113.32,94.34
1978-04-28,837.32,115.18,96.83
1978-05-05,829.09,117.27,96.53
1978-05-12,840.7,119.4,98.07
1978-05-19,846.85,121.57,98.12
1978-05-26,831.69,119.86,96.58
1978-06-02,847.54,121.03,98.14
1978-06-09,859.23,124.41,99.93
1978-06-16,836.97,123.69,97.42
1978-06-23,823.02,120.74,95.85
1978-06-30,818.95,120.3,95.53
1978-07-07,812.46,119.16,94.89
1978-07-14,839.83,121.58,97.58
1978-07-21,833.42,123.6,97.75
1978-07-28,856.29,125.62,100.0
1978-08-04,888.43,129.71,103.92
1978-08-11,890.85,132.0,103.96
1978-08-18,896.83,134.71,104.73
1978-08-25,895.53,135.84,104.9
1978-09-01,879.33,135.35,103.68
1978-09-08,907.74,138.36,106.79
1978-09-15,878.55,137.36,104.12
1978-09-22,862.44,132.3,101.84
1978-09-29,865.82,132.89,102.54
1978-10-06,880.02,134.0,103.52
1978-10-13,897.09,135.58,104.66
1978-10-20,838.01,123.82,97.95
1978-10-27,806.05,115.25,94.59
1978-11-03,823.11,115.49,96.18
1978-11-10,807.09,114.84,94.77
1978-11-17,797.73,113.69,94.42
1978-11-24,810.12,116.17,95.79
1978-12-01,811.5,116.19,96.28
1978-12-08,811.85,118.77,96.63
1978-12-15,805.35,117.41,95.33
1978-12-22,808.47,116.93,96.31
1978-12-29,805.01,117.98,96.11
1979-01-05,830.73,122.05,99.13
1979-01-12,836.28,123.74,99.93
1979-01-19,837.49,124.65,99.75
1979-01-26,859.75,127.04,101.86
1979-02-02,834.63,125.82,99.5
1979-02-09,822.23,123.76,97.87
1979-02-16,827.01,125.57,98.67
1979-02-23,823.28,125.04,97.78
1979-03-02,815.75,123.67,96.97
1979-03-09,842.86,127.25,99.54
1979-03-16,852.82,128.55,100.69
1979-03-23,859.75,130.58,101.6
1979-03-30,862.18,131.76,101.59
1979-04-06,875.69,133.75,103.18
1979-04-12,870.5,133.54,102.0
1979-04-20,856.98,133.67,101.23
1979-04-27,856.64,134.37,101.8
1979-05-04,847.54,133.72,100.69
1979-05-11,830.56,129.69,98.52
1979-05-18,841.91,131.01,99.93
1979-05-25,836.28,132.68,100.22
1979-06-01,821.21,131.76,99.17
1979-06-08,835.15,134.96,101.49
1979-06-15,843.3,136.25,102.09
1979-06-22,849.1,137.24,102.64
1979-06-29,841.98,138.13,102.91
1979-07-06,846.16,138.64,103.62
1979-07-13,833.53,138.52,102.32
1979-07-20,828.07,137.98,101.82
1979-07-27,839.76,140.02,103.1
1979-08-03,846.16,142.63,104.04
1979-08-10,867.06,145.07,106.4
1979-08-17,883.36,147.84,108.3
1979-08-24,880.2,149.4,108.6
1979-08-31,887.63,150.44,109.32
1979-09-07,874.15,148.07,107.66
1979-09-14,879.1,150.56,108.76
1979-09-21,893.94,150.65,110.47
1979-09-28,878.58,149.98,109.32
1979-10-05,897.61,152.29,111.27
1979-10-12,838.99,140.71,104.49
1979-10-19,814.68,136.59,101.6
1979-10-26,809.3,133.75,100.57
1979-11-02,818.94,136.88,102.51
1979-11-09,806.48,135.86,101.51
1979-11-16,815.7,139.07,103.79
1979-11-23,811.77,139.85,104.67
1979-11-30,822.35,144.26,106.16
1979-12-07,833.19,147.49,107.52
1979-12-14,842.75,150.03,108.92
1979-12-21,838.91,150.17,107.59
1979-12-28,838.91,150.83,107.84
1980-01-04,828.84,148.02,106.52
1980-01-11,858.53,153.87,109.92
1980-01-18,867.15,156.14,111.07
1980-01-25,876.11,159.7,113.61
1980-02-01,881.48,162.3,115.12
1980-02-08,895.73,165.25,117.95
1980-02-15,884.98,162.56,115.41
1980-02-22,868.77,160.08,115.04
1980-02-29,863.14,158.03,113.66
1980-03-07,820.56,146.19,106.9
1980-03-14,811.69,144.44,105.43
1980-03-21,785.15,138.8,102.31
1980-03-28,777.65,129.25,100.68
1980-04-03,784.13,136.01,102.15
1980-04-11,791.55,137.75,103.79
1980-04-18,763.4,134.66,100.55
1980-04-25,803.58,137.92,105.16
1980-05-02,810.92,140.25,105.58
1980-05-09,805.8,143.06,104.72
1980-05-16,826.88,147.24,107.35
1980-05-23,854.1,149.48,110.62
1980-05-30,850.85,150.45,111.24
1980-06-06,861.52,152.68,113.2
1980-06-13,876.37,156.59,115.81
1980-06-20,869.71,156.51,114.06
1980-06-27,881.83,159.18,116.0
1980-07-03,888.91,160.87,117.46
1980-07-11,891.13,164.82,117.84
1980-07-18,923.98,169.99,122.04
1980-07-25,918.09,169.63,120.78
1980-08-01,931.48,172.49,121.21
1980-08-08,954.69,175.88,123.61
1980-08-15,966.72,179.89,125.72
1980-08-22,958.19,181.7,126.02
1980-08-29,932.59,181.52,122.38
1980-09-05,940.96,185.61,124.88
1980-09-12,936.52,189.58,125.54
1980-09-19,963.74,195.33,129.25
1980-09-26,940.1,190.77,126.35
1980-10-03,950.68,193.43,129.33
1980-10-10,950.68,197.79,130.29
1980-10-17,956.14,197.24,131.52
1980-10-24,943.6,196.17,129.85
1980-10-31,924.49,192.78,127.47
1980-11-07,932.42,193.51,129.18
1980-11-14,986.35,201.76,137.15
1980-11-21,989.93,206.07,139.11
1980-11-28,993.34,208.15,140.52
1980-12-05,956.23,203.02,134.03
1980-12-12,917.15,191.22,129.23
1980-12-19,937.2,197.91,133.7
1980-12-26,966.38,201.28,136.57
1981-01-02,972.78,203.55,136.34
1981-01-09,968.69,197.66,133.48
1981-01-16,973.29,201.13,134.77
1981-01-23,940.19,197.52,130.23
1981-01-30,947.27,197.81,129.55
1981-02-06,952.3,197.87,130.6
1981-02-13,931.57,193.89,126.98
1981-02-20,936.09,192.29,126.58
1981-02-27,974.58,198.01,131.27
1981-03-06,964.62,199.89,129.85
1981-03-13,985.77,202.17,133.11
1981-03-20,992.8,206.29,134.08
1981-03-27,994.78,208.82,134.65
1981-04-03,1007.11,212.65,135.49
1981-04-10,1000.27,215.15,134.51
1981-04-16,1005.58,216.64,134.7
1981-04-24,1020.35,219.56,135.14
1981-05-01,995.59,216.68,132.72
1981-05-08,976.4,214.84,131.66
1981-05-15,985.95,216.51,132.17
1981-05-22,971.72,219.23,131.33
1981-05-29,991.75,223.47,132.59
1981-06-05,993.79,221.3,132.22
1981-06-12,1006.28,222.76,133.49
1981-06-19,996.19,219.56,132.27
1981-06-26,992.87,219.76,132.56
1981-07-02,959.19,212.8,128.64
1981-07-10,955.67,210.54,129.37
1981-07-17,958.9,212.76,130.76
1981-07-24,936.74,208.0,128.46
1981-07-31,952.34,211.63,130.92
1981-08-07,942.54,211.36,131.75
1981-08-14,936.93,212.12,132.49
1981-08-21,920.57,206.76,129.23
1981-08-28,892.22,197.55,124.08
1981-09-04,861.68,189.63,120.07
1981-09-11,872.81,189.81,121.61
1981-09-18,836.19,184.27,116.26
1981-09-25,824.01,175.12,112.77
1981-10-02,860.73,184.37,119.36
1981-10-09,873.0,191.27,121.45
1981-10-16,851.69,190.24,119.19
1981-10-23,837.99,191.91,118.6
1981-10-30,852.55,195.24,121.89
1981-11-06,852.45,199.97,122.67
1981-11-13,855.88,200.16,121.67
1981-11-20,852.93,198.6,121.71
1981-11-27,885.94,201.02,125.09
1981-12-04,892.69,200.88,126.26
1981-12-11,886.51,198.64,124.93
1981-12-18,875.76,197.01,124.0
1981-12-24,873.38,195.7,122.54
1981-12-31,875.0,195.84,122.55
1982-01-08,866.53,192.05,119.55
1982-01-15,847.6,187.32,116.33
1982-01-22,845.03,185.83,115.38
1982-01-29,871.1,188.39,120.4
1982-02-05,851.03,188.21,117.26
1982-02-12,833.81,182.52,114.38
1982-02-19,824.3,180.65,113.22
1982-02-26,824.39,179.43,113.11
1982-03-05,807.36,173.97,109.34
1982-03-12,797.37,168.23,108.61
1982-03-19,805.65,171.76,110.61
1982-03-26,817.92,175.2,111.94
1982-04-02,838.57,178.56,115.12
1982-04-08,842.94,181.15,116.22
1982-04-16,843.42,182.25,116.81
1982-04-23,862.16,184.93,118.64
1982-04-30,848.36,184.7,116.44
1982-05-07,869.2,188.13,119.47
1982-05-14,857.78,188.22,118.01
1982-05-21,835.9,182.4,114.89
1982-05-28,819.54,178.54,111.88
1982-06-04,804.98,174.82,110.09
